Campus;Cod_Curso;Curso;A0;L1;L2;L5;L6;L9;L10;L13;L14;Total
VI;5000598;LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;20;3;5;3;5;1;1;1;1;40
VI;5000598;CIÊNCIAS BIOLÓGICAS;25;5;6;4;6;1;1;1;1;50
VI;5000602;CIÊNCIAS SOCIAIS;30;5;8;5;8;1;1;1;1;60
VI;5000603;DANÇA;10;1;2;1;2;1;1;1;1;20
VI;5000600;FÍSICA;25;5;6;4;6;1;1;1;1;50
VI;5000604;GEOGRAFIA;25;5;6;4;6;1;1;1;1;50
VI;5000605;HISTÓRIA;25;5;6;4;6;1;1;1;1;50
VI;5000606;LETRAS;30;5;8;5;8;1;1;1;1;60
VI;5000694;LICENCIATURA EM MATEMÁTICA;20;3;5;3;5;1;1;1;1;40
VI;5000694;MATEMÁTICA;22;4;6;4;5;1;1;1;1;45
VI;5000601;QUÍMICA;30;5;8;5;8;1;1;1;1;60
VI;5000601;LICENCIATURA EM QUÍMICA;20;3;5;3;5;1;1;1;1;40
VI;683;ADMINISTRAÇÃO;30;5;8;5;8;1;1;1;1;60
VI;21972;AGRONEGÓCIO;20;3;5;3;5;1;1;1;1;40
VI;685;AGRONOMIA;105;22;27;22;26;2;2;2;2;210
VI;704;ARQUITETURA E URBANISMO;20;3;5;3;5;1;1;1;1;40
VI;39114;BIOQUÍMICA;20;3;5;3;5;1;1;1;1;40
VI;703;CIÊNCIA DA COMPUTAÇÃO;20;3;5;3;5;1;1;1;1;40
VI;18856;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;15;2;4;2;3;1;1;1;1;30
VI;21586;CIÊNCIAS CONTÁBEIS;20;3;5;3;5;1;1;1;1;40
VI;686;CIÊNCIAS ECONÔMICAS;25;5;6;4;6;1;1;1;1;50
VI;43916;COMUNICAÇÃO SOCIAL;20;3;5;3;5;1;1;1;1;40
VI;699;COOPERATIVISMO;20;3;5;3;5;1;1;1;1;40
VI;705;DIREITO;30;5;8;5;8;1;1;1;1;60
VI;687;EDUCAÇÃO FÍSICA - LICENCIATURA;15;2;4;2;3;1;1;1;1;30
VI;300687;EDUCAÇÃO FÍSICA - BACHARELADO;20;3;5;3;5;1;1;1;1;40
VI;39274;EDUCAÇÃO INFANTIL;20;3;5;3;5;1;1;1;1;40
VI;120830;ENFERMAGEM;25;5;6;4;6;1;1;1;1;50
VI;55452;ENGENHARIA AGRÍCOLA E AMBIENTAL;20;3;5;3;5;1;1;1;1;40
VI;21587;ENGENHARIA AMBIENTAL;20;3;5;3;5;1;1;1;1;40
VI;689;ENGENHARIA CIVIL;30;5;8;5;8;1;1;1;1;60
